Empresa,EVA,MVA
Oi,-2115820.49196106,-35378104.2622393
Telebras,-135799.007844553,-1479036.32588174
Telef Brasil,-3458992.72805557,-32019742.5463949
Tim Part S/A,-618521.900606117,-6268543.72078387
